Fecha,Producto,Region,Ventas,Precio
2024-02-22,Televisor,Sur,353,51
2024-02-23,Televisor,Centro,182,26
2024-02-24,Smartphone,Norte,476,40
2024-02-25,Laptop,Centro,78,39
2024-02-26,Laptop,Centro,425,45
2024-02-27,Tablet,Centro,437,87
2024-02-28,Laptop,Oeste,458,34
2024-02-29,Laptop,Norte,96,98
2024-03-01,Tablet,Sur,110,33
2024-03-02,Laptop,Norte,17,46
2024-03-03,Laptop,Sur,342,59
2024-03-04,Laptop,Oeste,209,77
2024-03-05,Laptop,Oeste,96,47
2024-03-06,Tablet,Oeste,52,45
2024-03-07,Laptop,Oeste,394,82
2024-03-08,Laptop,Sur,118,85
2024-03-09,Tablet,Centro,444,44
2024-03-10,Smartphone,Sur,417,22
2024-03-11,Televisor,Norte,492,91
2024-03-12,Smartphone,Oeste,161,63
2024-03-13,Tablet,Oeste,26,61
2024-03-14,Televisor,Norte,142,25
2024-03-15,Tablet,Sur,157,58
2024-03-16,Tablet,Centro,286,71
2024-03-17,Laptop,Centro,241,42
2024-03-18,Televisor,Norte,323,69
2024-03-19,Laptop,Centro,424,62
2024-03-20,Televisor,Sur,375,38
2024-03-21,Tablet,Sur,237,88
2024-03-22,Tablet,Norte,148,70
2024-03-23,Smartphone,Sur,445,30
2024-03-24,Televisor,Oeste,408,31
2024-03-25,Laptop,Norte,220,93
2024-03-26,Smartphone,Sur,400,27
2024-03-27,Smartphone,Norte,37,43
2024-03-28,Smartphone,Centro,60,60
2024-03-29,Laptop,Sur,451,55
2024-03-30,Smartphone,Oeste,270,91
2024-03-31,Laptop,Sur,270,74
2024-04-01,Smartphone,Norte,359,28
2024-04-02,Laptop,Norte,361,66
2024-04-03,Tablet,Sur,17,34
2024-04-04,Tablet,Oeste,329,67
2024-04-05,Tablet,Oeste,147,61
2024-04-06,Tablet,Oeste,47,79
2024-04-07,Tablet,Norte,120,89
2024-04-08,Smartphone,Sur,489,31
2024-04-09,Smartphone,Centro,377,21
2024-04-10,Smartphone,Norte,229,26
2024-04-11,Laptop,Oeste,346,99
2024-04-12,Laptop,Sur,232,22
2024-04-13,Laptop,Oeste,145,22
2024-04-14,Laptop,Centro,265,46
2024-04-15,Tablet,Oeste,369,59
2024-04-16,Tablet,Oeste,418,52
2024-04-17,Tablet,Centro,338,20
2024-04-18,Televisor,Sur,459,27
2024-04-19,Smartphone,Norte,472,51
2024-04-20,Laptop,Sur,443,67
2024-04-21,Laptop,Centro,460,23
2024-04-22,Tablet,Oeste,58,89
2024-04-23,Laptop,Sur,301,38
2024-04-24,Laptop,Norte,391,51
2024-04-25,Smartphone,Centro,333,28
2024-04-26,Tablet,Sur,87,31
2024-04-27,Smartphone,Norte,114,30
2024-04-28,Televisor,Centro,178,65
2024-04-29,Televisor,Norte,226,35
2024-04-30,Televisor,Centro,387,20
2024-05-01,Tablet,Oeste,128,82
2024-05-02,Laptop,Sur,199,40
2024-05-03,Tablet,Norte,264,49
2024-05-04,Tablet,Centro,379,32
2024-05-05,Laptop,Norte,275,53
2024-05-06,Smartphone,Norte,158,23
2024-05-07,Televisor,Sur,173,47
2024-05-08,Smartphone,Oeste,149,78
2024-05-09,Televisor,Norte,356,46
2024-05-10,Tablet,Centro,497,88
2024-05-11,Televisor,Centro,267,44
2024-05-12,Tablet,Oeste,383,22
2024-05-13,Smartphone,Centro,278,87
2024-05-14,Tablet,Oeste,190,44
2024-05-15,Smartphone,Centro,169,39
2024-05-16,Laptop,Sur,360,53
2024-05-17,Laptop,Norte,409,45
2024-05-18,Laptop,Sur,297,24
2024-05-19,Tablet,Norte,297,80
2024-05-20,Laptop,Norte,389,28
2024-05-21,Televisor,Norte,235,69
2024-05-22,Smartphone,Sur,20,25
2024-05-23,Smartphone,Norte,19,79
2024-05-24,Televisor,Sur,280,63
2024-05-25,Tablet,Oeste,282,30
2024-05-26,Tablet,Centro,433,85
2024-05-27,Smartphone,Centro,411,66
2024-05-28,Laptop,Norte,192,92
2024-05-29,Tablet,Sur,466,22
2024-05-30,Tablet,Centro,162,95
2024-05-31,Televisor,Sur,497,49
2024-06-01,Televisor,Sur,324,40
2024-06-02,Laptop,Norte,343,47
2024-06-03,Tablet,Centro,133,81
2024-06-04,Tablet,Norte,482,52
2024-06-05,Televisor,Norte,123,54
2024-06-06,Tablet,Centro,287,71
2024-06-07,Smartphone,Centro,423,53
2024-06-08,Televisor,Oeste,477,60
2024-06-09,Laptop,Oeste,222,70
2024-06-10,Televisor,Sur,181,66
2024-06-11,Tablet,Centro,297,77
2024-06-12,Laptop,Oeste,444,94
2024-06-13,Televisor,Sur,183,76
2024-06-14,Smartphone,Sur,122,42
2024-06-15,Smartphone,Sur,385,67
2024-06-16,Televisor,Oeste,414,41
2024-06-17,Smartphone,Centro,492,36
2024-06-18,Smartphone,Norte,131,88
2024-06-19,Smartphone,Sur,41,30
2024-06-20,Laptop,Oeste,231,34
2024-06-21,Smartphone,Oeste,128,54
2024-06-22,Smartphone,Norte,48,52
2024-06-23,Smartphone,Norte,277,35
2024-06-24,Laptop,Oeste,242,53
2024-06-25,Televisor,Centro,440,85
2024-06-26,Tablet,Norte,27,59
2024-06-27,Smartphone,Oeste,158,47
2024-06-28,Televisor,Norte,406,66
2024-06-29,Smartphone,Centro,158,58
2024-06-30,Laptop,Sur,135,89
2024-07-01,Televisor,Norte,401,92
2024-07-02,Laptop,Centro,311,39
2024-07-03,Smartphone,Oeste,369,20
2024-07-04,Smartphone,Norte,247,91
2024-07-05,Laptop,Norte,144,82
2024-07-06,Tablet,Oeste,160,86
2024-07-07,Laptop,Sur,245,23
2024-07-08,Smartphone,Oeste,233,77
2024-07-09,Laptop,Norte,212,44
2024-07-10,Tablet,Oeste,265,66
2024-07-11,Laptop,Centro,95,57
2024-07-12,Tablet,Oeste,159,34
2024-07-13,Tablet,Norte,244,82
2024-07-14,Laptop,Oeste,354,40
2024-07-15,Laptop,Sur,31,76
2024-07-16,Televisor,Oeste,357,72
2024-07-17,Smartphone,Sur,294,65
2024-07-18,Tablet,Centro,278,33
2024-07-19,Televisor,Sur,475,95
2024-07-20,Laptop,Oeste,267,36
2024-07-21,Smartphone,Norte,38,58
2024-07-22,Televisor,Sur,222,28
2024-07-23,Tablet,Centro,472,96
2024-07-24,Televisor,Sur,445,98
2024-07-25,Tablet,Sur,292,25
2024-07-26,Laptop,Sur,59,42
2024-07-27,Smartphone,Centro,104,78
2024-07-28,Smartphone,Oeste,472,65
2024-07-29,Smartphone,Sur,416,57
2024-07-30,Laptop,Sur,97,33
2024-07-31,Tablet,Norte,53,91
2024-08-01,Laptop,Centro,470,81
2024-08-02,Smartphone,Sur,287,54
2024-08-03,Laptop,Centro,180,38
2024-08-04,Laptop,Sur,430,49
2024-08-05,Laptop,Oeste,198,97
2024-08-06,Tablet,Oeste,362,44
2024-08-07,Televisor,Sur,193,59
2024-08-08,Televisor,Oeste,12,33
2024-08-09,Laptop,Sur,200,45
2024-08-10,Televisor,Oeste,127,41
2024-08-11,Televisor,Norte,28,67
2024-08-12,Laptop,Norte,32,70
2024-08-13,Laptop,Norte,422,22
2024-08-14,Smartphone,Centro,39,61
2024-08-15,Televisor,Centro,304,38
2024-08-16,Tablet,Norte,117,92
2024-08-17,Laptop,Centro,376,47
2024-08-18,Smartphone,Oeste,290,64
2024-08-19,Tablet,Sur,137,90
2024-08-20,Televisor,Sur,238,97
2024-08-21,Smartphone,Sur,120,82
2024-08-22,Laptop,Norte,145,92
2024-08-23,Tablet,Centro,371,38
2024-08-24,Laptop,Oeste,195,66
2024-08-25,Televisor,Oeste,153,33
2024-08-26,Tablet,Norte,81,57
2024-08-27,Televisor,Oeste,138,72
2024-08-28,Televisor,Oeste,373,80
2024-08-29,Smartphone,Oeste,270,55
2024-08-30,Laptop,Oeste,12,59
2024-08-31,Tablet,Centro,458,49
2024-09-01,Televisor,Oeste,397,28
2024-09-02,Televisor,Sur,113,83
2024-09-03,Tablet,Norte,492,52
2024-09-04,Televisor,Centro,233,71
2024-09-05,Smartphone,Oeste,329,33
2024-09-06,Smartphone,Centro,371,94
2024-09-07,Smartphone,Oeste,363,72
2024-09-08,Smartphone,Sur,482,78
2024-09-09,Televisor,Norte,19,97
2024-09-10,Tablet,Oeste,414,60
2024-09-11,Tablet,Oeste,393,87
2024-09-12,Tablet,Oeste,311,87
2024-09-13,Tablet,Oeste,240,27
2024-09-14,Laptop,Norte,228,21
2024-09-15,Tablet,Norte,420,60
2024-09-16,Laptop,Sur,75,74
2024-09-17,Laptop,Norte,434,35
2024-09-18,Smartphone,Oeste,121,81
2024-09-19,Laptop,Sur,22,67
2024-09-20,Televisor,Sur,402,49
2024-09-21,Laptop,Sur,429,31
2024-09-22,Smartphone,Oeste,95,54
2024-09-23,Laptop,Centro,243,30
2024-09-24,Televisor,Oeste,99,83
2024-09-25,Televisor,Norte,323,69
2024-09-26,Televisor,Norte,63,40
2024-09-27,Smartphone,Oeste,21,88
2024-09-28,Smartphone,Oeste,218,67
2024-09-29,Tablet,Sur,471,39
2024-09-30,Smartphone,Oeste,23,86
2024-10-01,Televisor,Sur,130,63
2024-10-02,Televisor,Norte,427,52
2024-10-03,Smartphone,Sur,446,92
2024-10-04,Laptop,Oeste,386,80
2024-10-05,Smartphone,Norte,29,28
2024-10-06,Smartphone,Centro,84,87
2024-10-07,Televisor,Sur,409,54
2024-10-08,Tablet,Norte,252,84
2024-10-09,Televisor,Sur,232,27
2024-10-10,Tablet,Norte,79,64
2024-10-11,Televisor,Norte,321,66
2024-10-12,Smartphone,Sur,220,59
2024-10-13,Televisor,Centro,110,95
2024-10-14,Televisor,Norte,195,73
2024-10-15,Televisor,Norte,141,95
2024-10-16,Smartphone,Norte,120,65
2024-10-17,Smartphone,Centro,390,66
2024-10-18,Smartphone,Centro,141,34
2024-10-19,Smartphone,Oeste,29,38
2024-10-20,Tablet,Sur,403,45
2024-10-21,Tablet,Centro,33,71
2024-10-22,Laptop,Sur,236,41
2024-10-23,Smartphone,Oeste,163,40
2024-10-24,Tablet,Sur,302,70
2024-10-25,Televisor,Centro,239,57
2024-10-26,Smartphone,Sur,478,39
2024-10-27,Laptop,Centro,319,48
2024-10-28,Laptop,Sur,497,70
2024-10-29,Laptop,Centro,368,23
2024-10-30,Televisor,Centro,414,74
2024-10-31,Tablet,Sur,211,90
2024-11-01,Televisor,Oeste,47,47
2024-11-02,Smartphone,Norte,439,23
2024-11-03,Laptop,Oeste,269,41
2024-11-04,Televisor,Sur,197,95
2024-11-05,Televisor,Oeste,66,64
2024-11-06,Tablet,Centro,438,86
2024-11-07,Tablet,Norte,29,85
2024-11-08,Laptop,Sur,282,53
2024-11-09,Televisor,Sur,128,74
2024-11-10,Televisor,Sur,80,20
2024-11-11,Tablet,Norte,13,91
2024-11-12,Televisor,Centro,230,57
2024-11-13,Televisor,Sur,23,25
2024-11-14,Televisor,Oeste,12,44
2024-11-15,Tablet,Sur,225,36
2024-11-16,Laptop,Sur,238,80
2024-11-17,Smartphone,Sur,345,31
2024-11-18,Laptop,Sur,195,25
2024-11-19,Smartphone,Centro,64,46
2024-11-20,Televisor,Oeste,397,27
2024-11-21,Laptop,Centro,385,84
2024-11-22,Smartphone,Oeste,263,76
2024-11-23,Tablet,Sur,33,59
2024-11-24,Tablet,Norte,171,33
2024-11-25,Laptop,Centro,167,54
2024-11-26,Laptop,Norte,91,67
2024-11-27,Televisor,Centro,412,75
2024-11-28,Laptop,Sur,168,68
2024-11-29,Televisor,Centro,197,32
2024-11-30,Televisor,Sur,69,80
2024-12-01,Tablet,Centro,412,68
2024-12-02,Tablet,Sur,314,65
2024-12-03,Smartphone,Sur,328,81
2024-12-04,Tablet,Oeste,375,27
2024-12-05,Tablet,Sur,220,62
2024-12-06,Laptop,Oeste,415,39
2024-12-07,Tablet,Sur,161,58
2024-12-08,Smartphone,Norte,118,68
2024-12-09,Laptop,Sur,85,83
2024-12-10,Smartphone,Norte,39,81
2024-12-11,Tablet,Norte,323,73
2024-12-12,Smartphone,Sur,495,28
2024-12-13,Laptop,Norte,126,56
2024-12-14,Televisor,Oeste,424,68
2024-12-15,Smartphone,Centro,365,60
2024-12-16,Smartphone,Sur,201,36
2024-12-17,Laptop,Norte,28,40
2024-12-18,Laptop,Sur,441,70
2024-12-19,Smartphone,Oeste,182,78
2024-12-20,Tablet,Sur,237,58
2024-12-21,Smartphone,Sur,359,74
2024-12-22,Laptop,Norte,192,60
2024-12-23,Televisor,Oeste,122,58
2024-12-24,Televisor,Centro,192,32
2024-12-25,Tablet,Centro,490,83
2024-12-26,Smartphone,Norte,155,30
2024-12-27,Televisor,Sur,328,38
2024-12-28,Smartphone,Norte,125,30
2024-12-29,Laptop,Norte,122,96
2024-12-30,Televisor,Norte,260,65
2024-12-31,Tablet,Sur,485,64
2025-01-01,Laptop,Oeste,260,20
2025-01-02,Tablet,Norte,312,59
2025-01-03,Laptop,Sur,468,38
2025-01-04,Televisor,Oeste,322,95
2025-01-05,Tablet,Norte,127,91
2025-01-06,Tablet,Centro,310,91
2025-01-07,Laptop,Oeste,170,80
2025-01-08,Tablet,Norte,410,31
2025-01-09,Laptop,Oeste,207,80
2025-01-10,Laptop,Oeste,269,52
2025-01-11,Laptop,Oeste,157,64
2025-01-12,Laptop,Oeste,249,88
2025-01-13,Televisor,Oeste,56,27
2025-01-14,Laptop,Oeste,484,44
2025-01-15,Smartphone,Norte,408,65
2025-01-16,Tablet,Centro,207,49
2025-01-17,Smartphone,Sur,56,66
2025-01-18,Televisor,Oeste,87,68
2025-01-19,Smartphone,Sur,133,66
2025-01-20,Tablet,Norte,84,37
2025-01-21,Smartphone,Oeste,368,85
2025-01-22,Televisor,Centro,146,87
2025-01-23,Laptop,Sur,99,52
2025-01-24,Smartphone,Oeste,409,55
2025-01-25,Televisor,Norte,334,38
2025-01-26,Televisor,Centro,70,47
2025-01-27,Tablet,Sur,147,59
2025-01-28,Tablet,Sur,59,95
2025-01-29,Smartphone,Oeste,268,34
2025-01-30,Laptop,Centro,470,60
2025-01-31,Televisor,Centro,116,58
2025-02-01,Smartphone,Centro,122,21
2025-02-02,Televisor,Centro,359,82
2025-02-03,Televisor,Norte,263,48
2025-02-04,Laptop,Centro,127,93
2025-02-05,Laptop,Sur,207,85
2025-02-06,Smartphone,Sur,346,70
2025-02-07,Laptop,Norte,374,94
2025-02-08,Laptop,Sur,60,96
2025-02-09,Smartphone,Sur,254,29
2025-02-10,Laptop,Centro,412,33
2025-02-11,Tablet,Sur,435,70
2025-02-12,Televisor,Norte,44,92
2025-02-13,Televisor,Centro,311,58
2025-02-14,Televisor,Oeste,419,47
2025-02-15,Televisor,Centro,78,22
2025-02-16,Smartphone,Norte,358,89
2025-02-17,Televisor,Centro,329,46
2025-02-18,Televisor,Centro,430,21
2025-02-19,Televisor,Norte,477,57
2025-02-20,Televisor,Centro,58,22
2025-02-21,Tablet,Norte,414,35
2025-02-22,Televisor,Norte,83,59
2025-02-23,Tablet,Oeste,201,21
2025-02-24,Smartphone,Sur,270,60
2025-02-25,Laptop,Sur,365,31
2025-02-26,Televisor,Centro,79,54
2025-02-27,Laptop,Centro,99,84
2025-02-28,Laptop,Oeste,269,74
2025-03-01,Smartphone,Oeste,135,64
2025-03-02,Laptop,Oeste,240,98
2025-03-03,Tablet,Norte,304,81
2025-03-04,Laptop,Oeste,428,68
2025-03-05,Laptop,Oeste,138,44
2025-03-06,Laptop,Centro,289,42
2025-03-07,Televisor,Oeste,322,43
2025-03-08,Televisor,Norte,109,57
2025-03-09,Tablet,Norte,335,47
2025-03-10,Tablet,Centro,306,40
2025-03-11,Televisor,Oeste,191,73
2025-03-12,Tablet,Oeste,183,37
2025-03-13,Televisor,Norte,325,55
2025-03-14,Smartphone,Oeste,373,64
2025-03-15,Laptop,Oeste,197,92
2025-03-16,Laptop,Oeste,66,72
2025-03-17,Tablet,Sur,40,49
2025-03-18,Televisor,Centro,93,79
2025-03-19,Televisor,Sur,161,51
2025-03-20,Tablet,Centro,482,86
2025-03-21,Televisor,Norte,45,86
2025-03-22,Smartphone,Oeste,222,47
2025-03-23,Laptop,Centro,423,63
2025-03-24,Tablet,Sur,417,98
2025-03-25,Tablet,Oeste,373,60
2025-03-26,Televisor,Norte,115,82
2025-03-27,Tablet,Centro,423,42
2025-03-28,Smartphone,Centro,351,94
2025-03-29,Televisor,Centro,229,67
2025-03-30,Televisor,Oeste,400,51
2025-03-31,Televisor,Sur,172,76
2025-04-01,Televisor,Sur,448,52
2025-04-02,Smartphone,Centro,229,43
2025-04-03,Televisor,Norte,279,58
2025-04-04,Tablet,Norte,129,53
2025-04-05,Smartphone,Sur,403,75
2025-04-06,Laptop,Norte,345,47
2025-04-07,Laptop,Sur,409,56
2025-04-08,Tablet,Centro,191,26
2025-04-09,Tablet,Sur,488,87
2025-04-10,Smartphone,Sur,115,56
2025-04-11,Laptop,Centro,226,75
2025-04-12,Laptop,Norte,214,84
2025-04-13,Laptop,Sur,79,84
2025-04-14,Laptop,Sur,53,66
2025-04-15,Laptop,Centro,338,39
2025-04-16,Televisor,Norte,310,38
2025-04-17,Tablet,Sur,237,48
2025-04-18,Televisor,Centro,193,93
2025-04-19,Laptop,Sur,116,79
2025-04-20,Smartphone,Oeste,93,37
2025-04-21,Smartphone,Centro,347,54
2025-04-22,Laptop,Norte,259,62
2025-04-23,Laptop,Norte,372,30
2025-04-24,Smartphone,Norte,450,68
2025-04-25,Televisor,Norte,30,57
2025-04-26,Televisor,Sur,205,83
2025-04-27,Laptop,Sur,187,88
2025-04-28,Televisor,Norte,426,27
2025-04-29,Smartphone,Norte,484,53
2025-04-30,Televisor,Norte,16,67
2025-05-01,Laptop,Sur,79,75
2025-05-02,Smartphone,Norte,136,95
2025-05-03,Televisor,Norte,408,84
2025-05-04,Tablet,Oeste,475,50
2025-05-05,Smartphone,Oeste,169,23
2025-05-06,Smartphone,Norte,257,69
2025-05-07,Tablet,Centro,212,88
2025-05-08,Tablet,Norte,157,49
2025-05-09,Smartphone,Oeste,481,78
2025-05-10,Tablet,Centro,152,86
2025-05-11,Laptop,Centro,441,94
2025-05-12,Laptop,Norte,208,64
2025-05-13,Laptop,Oeste,414,23
2025-05-14,Smartphone,Oeste,435,45
